gisid	bbox
78-98	765749,2960113,766026,2960361
254-94	750240,2962053,750603,2962299
216-4	757302,2963009,757778,2963430
146A-130	761644,2963135,762040,2963534
109-12	763683,2960182,763957,2960439
96-130	762645,2955556,762883,2955794
40-233	766219,2959054,766466,2959339
115-71	761767,2960218,762086,2960583
256-89	749612,2963001,749907,2963252
44-104	767508,2957523,768017,2957958
23-16	768496,2960620,768761,2960927
229-68	755705,2965183,755991,2965482
115-111	761785,2960525,762050,2960796
254-100	750225,2962109,750582,2962417
34-138	767697,2960215,768039,2960637
114A-11	763330,2960918,763642,2961207
76-62	765339,2958626,765590,2958897
108-90	762950,2960058,763261,2960367
228-32	755537,2965641,755816,2965945
83-79	764326,2961397,764588,2961648
199-125	757078,2967286,757346,2967555
205-88	756131,2965877,756415,2966147
40-111	766612,2959459,766901,2959722
109-35	763862,2960289,764149,2960565
97-1	761405,2955425,761679,2955696
199-46	757264,2967162,757543,2967466
177-82	758722,2966150,758956,2966385
225-17	756228,2963705,756500,2964013
232-22	754544,2964174,754812,2964464
262-25	754911,2965669,755232,2965948
40-153	766315,2959321,766586,2959603
190-241	755278,2969588,755552,2969841
233-170	753585,2964355,753936,2964640
19-15	769647,2959488,769934,2959736
40-42	766082,2959515,766387,2959778
123-31	761329,2958451,761634,2958715
202-122	756758,2966418,757016,2966669
236-3	753661,2962692,754022,2963022
129-29	760398,2957354,760663,2957605
25-92	768443,2959953,768699,2960257
118-21	762681,2959382,762976,2959682
208-13	757052,2965006,757348,2965299
237-47	754037,2963831,754352,2964090
86-104	764820,2960210,765102,2960494
127-20	760591,2956651,760931,2956907
154-93	759655,2965403,759911,2965710
186-96	754453,2971190,754848,2971606
168-36	758175,2961074,758658,2961480
201-68	758098,2966478,758380,2966774
198-96	756683,2967785,757013,2968028
252-139	751553,2962003,751864,2962282
19-56	769544,2959575,769789,2959818
63-128	762299,2954316,762720,2954703
173-12	758420,2964056,758707,2964320
126-63	761011,2957940,761241,2958223
160-59	758918,2960972,759227,2961314
273-35	752983,2966588,753388,2967054
238-26	753934,2962933,754281,2963356
251-221	751773,2961919,752095,2962226
140-8	761752,2962341,762058,2962600
196-96	756229,2968831,756514,2969120
97-118	762137,2955910,762404,2956184
108-88	763194,2959617,763510,2959938
186-16	754877,2971060,755179,2971347
229-71	755589,2965075,755911,2965371
149-79	760735,2964342,761061,2964655
206-38	756222,2965149,756516,2965442
273-51	753090,2966343,753623,2966833
256-79	749569,2962702,749862,2962952
233-111	753743,2964251,754010,2964521
85-43	765052,2960563,765349,2960846
199-188	757137,2967118,757543,2967457
142-157	761466,2962385,761697,2962671
123-83	761342,2958720,761603,2959003
126-32	760490,2957518,760777,2957770
256-90	749607,2962960,749902,2963214
35-38	767713,2960846,768002,2961089
118-6	762504,2959305,762809,2959596
210-22	757281,2965924,757577,2966223
96-31	762225,2955443,762518,2955726
142-130	761311,2961894,761646,2962203
97-137	761877,2955756,762196,2956058
34-46	768193,2960531,768433,2960787
237-19	754107,2963165,754409,2963478
112-47	762526,2960848,762902,2961209
267A-165	748745,2968618,749036,2968917
153-22	759597,2965976,759834,2966249
257-53	748935,2963216,749826,2964024
202-29	757138,2966686,757457,2966963
85-1	764696,2960433,765211,2961114
233-133	754224,2964491,754506,2964744
39-48	766766,2959872,767012,2960127
173-93	758027,2963854,758315,2964226
184-111	755754,2970355,756027,2970620
117-77	762224,2959865,762518,2960160
106-6	762631,2957361,762930,2957666
103-98	762450,2957033,762751,2957348
115-77	762340,2960417,762618,2960715
160-14	758951,2960740,759483,2961362
19-32	769581,2959539,769823,2959811
22-54	769145,2960925,769412,2961175
23-125	768569,2960610,768817,2960915
266-5	748078,2965351,748428,2965681
177-46	758691,2966426,758961,2966760
140-10	761730,2962210,762041,2962497
118-2	762355,2959095,762694,2959434
24-99	769236,2960330,769479,2960633
122-199	760521,2958686,761178,2959365
26-157	768775,2959335,769015,2959592
127-83	761234,2957056,761501,2957324
238-8	754926,2962827,755266,2963145
97-60	762062,2955778,762371,2956095
80-52	765994,2960892,766236,2961179
26-135	768865,2959264,769134,2959515
36-192	766742,2961145,766980,2961373
94-213	762392,2956157,762667,2956447
257-44	749672,2963197,749920,2963479
149-30	760487,2964165,760801,2964488
34-68	767923,2960311,768189,2960566
87-74	764391,2959950,764679,2960230
258-39	750077,2963400,750354,2963666
204-130	756208,2966210,756517,2966484
141-83	762100,2962605,762401,2962909
166-37	757589,2961218,757846,2961468
77-89	765885,2959050,766140,2959324
21-123	769341,2960989,769573,2961230
155-14	759667,2964590,759947,2964954
90-165	763911,2958675,764152,2958933
108-16	763070,2959871,763342,2960165
34-8	767730,2960573,768044,2960886
139-5	761680,2961184,762031,2961490
238-15	754487,2962591,754849,2963075
96-43	762462,2955331,762742,2955618
114A-63	763723,2961128,764027,2961416
85-84	765102,2960945,765355,2961186
255-113	749987,2962356,750272,2962604
33-92	767663,2959984,767890,2960242
124-43	761431,2958779,761706,2959066
127-156	761012,2956829,761360,2957185
190-154	755001,2969463,755325,2969768
39-102	766794,2959859,767043,2960115
26-12	768427,2959748,768651,2960009
23-135	768350,2960515,768582,2960782
190-162	754870,2969853,755132,2970140
267.3-268	749559,2968667,750045,2969228
202-109	757121,2966553,757397,2966835
196-54	756505,2968440,756805,2968706
125-132	761849,2957887,762133,2958181
89-66	764354,2958820,764620,2959124
184-15	755683,2971030,756034,2971381
193-151	754616,2969097,754935,2969331
238-19	754234,2962829,754532,2963141
191-22	755508,2969543,755775,2969780
247-100	753021,2963113,753353,2963388
234-125	753159,2964626,753515,2964910
48-129	767354,2956424,768074,2957476
105-130	762352,2958130,762577,2958385
189-16	754722,2970400,755035,2970675
205-6	755970,2965859,756280,2966163
33-32	768063,2960051,768353,2960327
267B-211	748838,2967812,749151,2968095
199-144	756873,2967180,757107,2967442
110-46	764067,2960676,764357,2960945
104-126	761323,2956896,761638,2957222
18-47	769941,2960050,770556,2960512
223-16	755118,2962708,755456,2963007
19-25	769460,2959485,769725,2959717
127-60	760948,2956859,761225,2957133
96-52	762249,2955636,762530,2955917
15-3	769559,2957823,770189,2958292
214-20	757607,2963452,757864,2963739
136-20	760467,2960788,760783,2961111
262-53	754266,2965594,754572,2965879
87-152	764270,2960409,764558,2960670
147-57	760976,2963824,761309,2964167
235-77	753060,2963576,753431,2963900
34-90	767656,2960343,767913,2960649
26-126	768097,2959477,768366,2959727
186-23	754793,2971155,755094,2971437
77-54	765726,2959076,766025,2959372
82-47	765338,2961425,765735,2961766
113-20	762871,2960409,763146,2960675
223-54	755629,2963228,755950,2963508
262-70	754490,2965510,754789,2965789
181-57	758492,2967671,758805,2967977
178-79	758677,2966877,758951,2967152
193-127	755300,2968940,755621,2969194
193-162	755075,2969215,755332,2969446
186-80	755259,2971196,755567,2971512
236-95	753556,2963899,753890,2964207
107-94	763022,2958904,763294,2959176
33-105	767296,2959928,767765,2960733
105-29	762497,2957750,762756,2958004
37-123	766795,2960467,767078,2960727
94-39	762491,2956537,762816,2956872
124-24	761884,2958195,762147,2958499
98-74	761332,2954614,761624,2954903
229-156	755399,2964987,755671,2965255
102-90	761681,2956407,761975,2956709
247-92	752870,2962267,753228,2962601
75-15	764541,2957867,764818,2958138
127-42	760871,2957024,761158,2957309
109-20	763597,2960043,763889,2960316
130-99	760425,2958516,760678,2958739
195-145	755662,2967648,755945,2967890
237-79	754122,2963162,754514,2963602
172-60	757645,2963138,758094,2963554
40-223	766438,2958991,766680,2959253
39-123	767061,2959678,767299,2959970
165-55	757673,2960540,758367,2961183
126-38	760695,2957903,760949,2958188
23-77	768259,2960433,768562,2960673
227-89	756130,2964673,756456,2965000
246A-69	753145,2961847,753351,2962083
21-112	769367,2960728,769612,2960969
17-53	769229,2959057,769494,2959299
26-99	768123,2959551,768346,2959804
211-1	757516,2965372,757849,2965706
233-210	753726,2964422,754036,2964690
111-47	763468,2961473,763723,2961796
146-15	761169,2963239,761474,2963560
253-146	750680,2962754,750940,2963047
185-14	754859,2971628,755135,2971918
267F-291	751215,2967812,751633,2968073
36-96	767001,2961150,767311,2961447
139-195	761628,2961086,762000,2961374
108-55	762864,2960080,763158,2960355
238-82	754063,2962485,754441,2962801
206-8	756245,2965556,756506,2965828
103-62	762593,2957130,762837,2957374
259-30	752199,2963907,752498,2964177
76-26	765550,2958901,765817,2959170
190-248	754135,2969836,754923,2970352
231-23	755058,2963806,755305,2964089
180-34	758718,2967857,759042,2968186
122-135	760954,2958910,761221,2959203
196-73	756360,2968487,756650,2968757
121-59	760951,2959134,761236,2959433
94-115	762439,2956360,762712,2956637
26-9	768381,2959750,768606,2960017
233-205	753633,2964168,753955,2964449
65-11	761826,2954685,762150,2955027
20-16	769680,2960713,769944,2960963
176-19	758542,2965696,758797,2966016
210-63	757620,2965885,757903,2966148
183-24	756603,2969828,756895,2970124
39-156	767099,2960000,767345,2960295
190-196	755322,2969540,755556,2969791
267B-175	748857,2968190,749146,2968462
174-84	758528,2964401,758839,2964675
40-8	766225,2958888,766560,2959197
94-223	762885,2956998,763155,2957279
140-51	762526,2962032,762814,2962290
115-73	761789,2960379,762068,2960679
91-185	763827,2958127,764098,2958402
265D-55	748227,2968000,753197,2969783
RR	755299,2967003,757645,2967729
123-62	761441,2958649,761737,2958946
186-2	754598,2971470,754886,2971778
235-68	753206,2963677,753563,2963949
121-128	760913,2959415,761173,2959707
102-73	761596,2956433,761928,2956758
76-121	764806,2958970,765122,2959261
193-27	754338,2969040,754658,2969295
112-103	762786,2960995,763135,2961308
178-108	758503,2966991,758760,2967261
80-17	765266,2960702,765572,2960989
246A-59	752935,2961868,753256,2962256
258-26	750271,2963404,750549,2963691
