gisid	bbox
182-89	756876,2968908,757125,2969156
79-97	765528,2959629,765771,2959894
150-29	759876,2964657,760122,2964924
145-14	760741,2963001,761095,2963308
79-89	765513,2959713,765803,2960011
135-42	761072,2960741,761432,2961059
262-108	754713,2965270,755001,2965579
112-36	762556,2961276,762919,2961607
190-179	754881,2969514,755202,2969760
247-120	752464,2963590,752734,2963892
75-83	764919,2958629,765166,2958887
252A-127	751350,2962616,751660,2962894
142-109	761486,2962537,761756,2962807
143-5	760638,2962255,760954,2962528
94-204	762312,2956222,762590,2956511
34-44	768159,2960536,768403,2960816
251-142	752042,2962404,752324,2962701
26-86	768799,2959284,769045,2959586
232-114	754635,2964251,754870,2964530
172-99	758528,2963402,758896,2963802
141-26	762108,2962514,762362,2962805
219-31	756537,2961959,756852,2962314
239-55	755029,2961870,755374,2962179
172-103	758530,2963125,758805,2963367
27-23	768860,2959121,769113,2959424
151-24	760293,2964906,760541,2965152
190-278	754932,2970041,755153,2970331
93-71	763333,2957850,763592,2958103
256-113	749981,2962694,750277,2962975
135-113	760896,2960989,761209,2961303
199-153	757572,2967626,757838,2967902
107-48	763357,2959033,763627,2959301
135-136	761556,2960668,761821,2960929
161-92	759266,2960394,759555,2960670
267F-279	751207,2967241,751665,2967635
186-85	755023,2970882,755339,2971170
196-136	756327,2968677,756639,2969007
150-68	760134,2964324,760434,2964660
153-83	759169,2966002,759459,2966282
222-18	755346,2962275,755681,2962629
262-56	754212,2965440,754506,2965744
266-23	748489,2966084,748837,2966425
24-43	769183,2959824,769447,2960132
168-45	758023,2961592,758363,2961924
77-82	765339,2959653,765597,2959897
26-150	768841,2959305,769144,2959581
110-115	763915,2960872,764158,2961132
22-68	768790,2960869,769014,2961104
236-41	753420,2963868,753682,2964145
174-12	758308,2964568,758603,2964858
214-44	757441,2963527,757773,2963854
115-97	762214,2960322,762581,2960749
182-95	757121,2968725,757411,2969017
267.2-267	750775,2970105,751311,2970546
263-133	754019,2965168,754309,2965436
75-164	764982,2958542,765240,2958786
14-54	769233,2957942,769497,2958345
39-159	767208,2960129,767432,2960440
99-36	760797,2955291,761098,2955601
174-45	758311,2964191,758575,2964479
109-40	764028,2960206,764307,2960479
175-75	758669,2964949,759024,2965370
106-51	762954,2957534,763241,2957819
97-14	761615,2955259,761927,2955575
153-66	758962,2965633,759432,2965937
36-175	766635,2960936,766875,2961210
24-97	769171,2960399,769425,2960645
188-79	754476,2970563,754779,2970804
76-70	765350,2959084,765620,2959361
26-169	768551,2959325,768792,2959558
160-69	758860,2961058,759202,2961414
124-93	761758,2958471,762012,2958718
--R	767940,2955260,768318,2956317
27-70	768488,2959067,768817,2959385
153-82	759122,2965838,759446,2966092
189-47	754874,2970508,755187,2970751
114A-72	763722,2960932,764018,2961199
196-60	756153,2968728,756474,2969061
25-140	768964,2959763,769216,2960001
93-110	763272,2957620,763566,2957926
104-109	761799,2957331,762271,2957793
79-11	765243,2960401,765554,2960687
27-27	769089,2959131,769328,2959388
86-99	764704,2959418,764962,2959668
32-44	767998,2959535,768258,2959764
115-70	761830,2960190,762167,2960555
186-77	755159,2971289,755437,2971586
198-85	756693,2968115,756981,2968383
209-70	757348,2965175,757693,2965531
255-22	750110,2961772,750380,2962115
190-40	754501,2969643,754757,2969866
199-91	757148,2967725,757505,2968047
88-71	764488,2959258,764805,2959541
181-44	758012,2968128,758316,2968439
121-117	761100,2959256,761349,2959502
118-30	762379,2958951,762705,2959275
140-82	762194,2962369,762449,2962663
247-225	752744,2962814,753034,2963105
133-54	759676,2960799,759915,2961024
190-171	754806,2969361,755048,2969650
135-86	761380,2960963,761635,2961229
174-4	758216,2964359,758516,2964650
40-63	766544,2959411,766787,2959667
254-36	750398,2962041,750781,2962323
90-19	763633,2959171,763954,2959469
94-113	762501,2956310,762775,2956587
---	752921,2968189,753258,2968806
26-47	768740,2959621,769009,2959953
194-60	755127,2968350,755426,2968604
112-134	763002,2961390,763294,2961684
160-58	758969,2961090,759259,2961394
220-137	756403,2961675,756654,2961935
260-60	753806,2965003,754121,2965302
97-101	761753,2955157,762032,2955435
108-74	763669,2959543,763951,2959797
184-39	755666,2970795,755946,2971068
10-65	770372,2958706,770773,2959161
24-10	769185,2959574,769437,2959878
168-52	757786,2961413,758061,2961697
223-27	755801,2963195,756163,2963535
258-66	750360,2963269,750645,2963592
94-194	762273,2956546,762527,2956804
230-29	754754,2964270,755040,2964573
190-277	754915,2970042,755137,2970332
81-16	765702,2961496,766022,2961772
225-44	756397,2963660,756680,2963976
10-39	770017,2958814,770321,2959059
150-11	760402,2964790,760638,2965056
267D-257	750318,2967511,750585,2967768
251-182	751851,2962507,752162,2962802
177-3	758167,2966294,758511,2966587
122-27	760954,2958183,761201,2958466
40-68	766475,2959385,766719,2959642
115-66	761646,2960258,761998,2960644
247-155	752786,2962310,753072,2962615
130-11	760291,2958000,760539,2958289
94-24	762544,2956672,762847,2956988
88-63	764429,2959045,764728,2959352
78-18	765952,2959434,766203,2959698
150-46	759949,2964442,760185,2964751
125-89	761370,2957394,761633,2957658
198-5	756903,2968072,757146,2968363
20-102	769737,2960559,769979,2960819
189-33	754983,2970655,755272,2970993
76-101	765100,2958910,765381,2959177
248-34	752343,2963877,752687,2964144
114-144	763327,2960308,763589,2960569
109-38	763947,2960232,764215,2960515
151-37	760084,2964930,760340,2965179
157-66	759430,2963877,759882,2964138
37-119	766971,2960297,767253,2960562
223-61	755434,2963111,755712,2963436
87-130	764404,2960231,764681,2960490
232-42	754454,2963897,754753,2964160
10-33	769852,2959095,770194,2959506
218-49	756513,2962805,756838,2963125
25-99	768466,2959844,768731,2960153
126-10	760469,2957695,760733,2957931
240-51	754279,2962278,754665,2962700
194-78	754800,2967535,755459,2967847
181-203	757648,2968162,757923,2968449
262-100	754866,2965341,755157,2965652
115-108	762000,2960132,762356,2960541
79-132	765382,2960124,765643,2960387
109-39	763992,2960235,764251,2960497
231-51	755098,2963693,755483,2964064
228-54	755706,2965728,755991,2966029
103-102	762162,2956940,762465,2957250
24-41	769104,2959850,769356,2960145
233-173	753549,2964490,753922,2964778
25-131	768623,2959874,768874,2960098
225-45	756102,2963823,756400,2964123
135-23	760553,2960647,760894,2961011
113-67	762961,2960634,763308,2960966
69-149	764406,2957112,764699,2957437
262-109	754750,2965248,755039,2965557
186-71	755093,2970962,755403,2971281
229-45	755772,2964760,756069,2965072
102-82	761900,2956360,762193,2956670
193-78	755015,2969064,755337,2969318
79-127	765512,2960298,765749,2960552
125-138	761277,2957400,761553,2957674
109-27	763478,2960164,763776,2960433
125-52	761888,2957883,762204,2958204
172-51	758462,2963468,758747,2963766
80-179	765762,2960719,766068,2960961
90-70	763370,2958191,763676,2958506
66-122	762500,2954607,762817,2954912
33-53	767616,2960122,767876,2960355
98-56	761009,2954834,761262,2955086
125-71	761608,2957592,761876,2957871
79-96	765453,2960410,765710,2960680
133-41	760089,2960448,760391,2960732
234-136	753067,2964189,753427,2964477
141-80	762100,2962829,762414,2963115
229-129	755594,2965313,755851,2965569
146A-142	761651,2963474,761939,2963766
247-91	752940,2962186,753272,2962516
33-21	767872,2959950,768109,2960236
109-24	763398,2960031,763684,2960338
26-41	768650,2959697,768883,2959968
117-87	762183,2959833,762444,2960099
190-251	754717,2969639,754982,2969890
185-45	755314,2971294,755624,2971603
253-30	750525,2962501,750836,2962772
176-20	758498,2965700,758751,2966007
126-126	761190,2957986,761444,2958246
135-17	760910,2960722,761211,2961010
74-44	765133,2958401,765430,2958660
122-5	760464,2958242,760768,2958511
99-64	760918,2955215,761198,2955509
112-30	762569,2961451,762867,2961756
198-52	756980,2967933,757288,2968185
110-66	764107,2960383,764398,2960657
247-220	752538,2963197,752900,2963481
202-6	756922,2966988,757182,2967255
192-157	755576,2968522,755838,2968802
193-106	754901,2968909,755221,2969164
267D-335	749923,2967671,750566,2968017
42-91	765711,2958626,766003,2958937
253-97	750642,2962381,750898,2962684
220-130	756139,2962058,756378,2962317
201-3	757453,2966850,757713,2967131
110-55	764212,2960839,764501,2961140
33-83	768046,2959911,768325,2960168
93-78	763509,2957708,763849,2958091
153-41	759412,2965566,759667,2965873
175-77	758640,2964997,758918,2965266
180-5	758369,2968282,758636,2968554
122-38	760978,2958085,761238,2958391
122-189	760525,2959032,760835,2959326
26-69	768641,2959565,768884,2959868
190-282	755068,2970029,755315,2970319
177-14	758460,2965976,758716,2966288
36-39	766611,2961267,766874,2961545
117-31	762215,2959302,762529,2959605
105-25	762388,2957843,762677,2958136
195-116	755491,2968316,755760,2968558
254-101	750203,2962236,750560,2962495
94-99	762942,2956751,763205,2957015
98-75	761308,2954606,761572,2954834
101-68	761266,2956447,761607,2956790
123-4	761572,2958444,761877,2958693
262-11	754671,2965765,754981,2966043
173-65	758694,2964027,758944,2964293
184-65	755789,2970611,756080,2970889
27-101	768258,2959192,768665,2959526
11-43	770097,2958284,770578,2958711
239-48	754697,2961804,754989,2962100
233-96	753874,2964449,754191,2964715
112-5	762239,2961073,762545,2961362
109-5	763687,2960298,763924,2960546
271-45	754795,2967480,755462,2967796
103-32	762226,2956985,762568,2957326
223-57	755571,2963165,755865,2963490
39-21	766670,2960168,766960,2960440
157-54	758938,2963635,759172,2963897
255-92	749714,2962075,749960,2962365
187-27	753351,2970563,753645,2970867
191-61	755609,2969756,755880,2969992
232-25	754802,2964034,755053,2964335
201-93	757835,2966465,758105,2966761
261-73	753180,2966118,753456,2966403
90-151	763889,2958970,764138,2959236
225-35	756212,2963564,756488,2963875
201-64	758101,2966567,758456,2966854
196-32	756097,2968420,756387,2968777
157-64	759449,2963697,759878,2964101
87-95	764531,2960019,764864,2960315
263-54	754708,2964884,755020,2965179
253-163	750630,2962046,750963,2962322
149-34	760367,2964212,760687,2964498
36-11	766525,2961294,766779,2961536
83-4	763916,2961549,764227,2961804
106-32	762822,2957370,763085,2957626
201.5-63	757282,2966168,757550,2966453
141-8	761791,2962521,762090,2962782
104-106	761464,2957093,761730,2957359
132-113	760130,2959770,760390,2960024
229-116	755741,2964633,756026,2964941
127-115	760944,2956759,761250,2957064
133-31	760383,2960171,760640,2960430
189-92	755413,2970159,755806,2970507
100-76	760811,2955720,761133,2956033
237-66	754313,2963893,754609,2964156
262-37	755030,2965573,755336,2965858
132-157	759877,2959544,760371,2959918
252-114	751588,2961872,751903,2962186
173-19	758119,2963695,758459,2963997
266-40	751026,2966585,751519,2967277
236-103	753634,2963234,753961,2963589
267E-291	750396,2967650,751300,2968142
220-86	756433,2962087,756744,2962365
249-14	752372,2963149,752714,2963447
79-59	765429,2959850,765739,2960152
21-4	769212,2960673,769460,2960911
201-36	757621,2966679,757880,2966970
36-188	767305,2961201,767578,2961475
150-146	760449,2964614,760747,2964989
192-168	756239,2969227,756555,2969562
247-173	752961,2962860,753291,2963142
190-46	754442,2969398,754766,2969651
184-71	755710,2970479,755987,2970749
194-18	755284,2967809,755584,2968107
107-92	763062,2959082,763335,2959356
146-42	760841,2963378,761193,2963680
119-18	761673,2959143,761963,2959439
115-30	761659,2960421,761949,2960698
94-221	762396,2956680,762668,2956952
156-33	759365,2964068,759664,2964401
101-49	761065,2956302,761353,2956590
257-26	749885,2963239,750176,2963494
89-24	764103,2958494,764381,2958790
26-73	768585,2959649,768857,2959880
98-3	760984,2954862,761293,2955162
19-10	769444,2959409,769807,2959722
192-9	755584,2968950,755966,2969206
202-76	756632,2966440,756945,2966726
202-78	756593,2966530,756905,2966816
147-38	761076,2964234,761408,2964541
94-92	763084,2956931,763352,2957204
206-49	756047,2965302,756353,2965600
126-124	761096,2957967,761327,2958231
177-38	758489,2966394,758760,2966729
113-65	762799,2960646,763151,2960962
127-103	761272,2957125,761572,2957435
102-121	761504,2955759,761810,2956046
82-85	764799,2961453,765089,2961709
182-68	757569,2968341,757857,2968632
192-146	755488,2969246,755732,2969544
136-15	760542,2961291,760871,2961671
182-63	756905,2968872,757212,2969187
149-146	760260,2964157,760552,2964438
106-122	762920,2957720,763481,2958235
234-46	753080,2964154,753436,2964431
238-85	754882,2962984,755236,2963351
228-8	755838,2965327,756110,2965621
267.2-270	751072,2970345,751525,2970851
104-137	761292,2956926,761554,2957188
117-3	761958,2959524,762255,2959816
185-21	755106,2971455,755386,2971742
125-122	761516,2958055,761777,2958288
267D-300	749626,2967431,749941,2967717
230-138	754870,2964290,755163,2964573
256-46	749169,2963095,749449,2963395
119-89	762167,2958485,762628,2958919
236-130	753530,2963218,753873,2963511
39-158	767145,2960001,767368,2960294
121-86	760618,2959553,760888,2959850
120-34	761292,2959117,761581,2959422
160-70	758807,2960972,759145,2961309
39-151	767086,2960138,767359,2960454
262-47	755192,2965602,755488,2965927
83-59	764373,2961589,764621,2961821
201.5-35	757200,2966272,757510,2966561
24-32	769094,2959482,769385,2959793
40-44	766064,2959594,766314,2959877
132-64	760237,2959856,760520,2960096
113-41	763384,2961254,763680,2961521
90-76	763692,2958567,763958,2958846
189-36	755069,2970634,755364,2970922
126-27	760523,2957216,760810,2957489
39-154	767060,2959999,767326,2960303
198-48	756971,2967603,757229,2967917
198-7	756860,2967989,757143,2968233
209-48	757524,2965089,757829,2965418
141-39	762251,2962719,762513,2962977
207-7	756654,2965248,756990,2965603
252A-136	751173,2962906,751562,2963188
114-121	763229,2960754,763549,2961045
259-16	752119,2963834,752418,2964110
127-70	760855,2956660,761140,2956943
94-189	762375,2956506,762616,2956791
122-40	760892,2958073,761194,2958386
190-195	755356,2969541,755602,2969792
228-27	755713,2965402,755985,2965690
79-82	765573,2959988,765871,2960256
44-106	767734,2957291,768381,2957832
247-59	753252,2962369,753552,2962662
200-18	757757,2967316,758023,2967593
83-96	764103,2961367,764347,2961630
199-72	757508,2967428,757855,2967730
169-5	758580,2961651,759184,2962193
222-15	755625,2962253,755916,2962638
93-57	763317,2957689,763618,2957999
26-129	768274,2959371,768526,2959675
125-72	761653,2957621,761901,2957884
201-112	757641,2966754,758143,2967127
232-54	754568,2963641,754834,2963949
214-33	757940,2963464,758307,2963817
108-12	762920,2959938,763215,2960254
230-128	754846,2964482,755115,2964749
185-18	754994,2971517,755277,2971830
121-119	760743,2959379,760996,2959651
97-82	761817,2955369,762111,2955673
192-139	756208,2969200,756529,2969536
221-107	755766,2962134,755994,2962416
224-35	756238,2963121,756571,2963449
82-93	765360,2961279,765658,2961541
190-22	755333,2970053,755610,2970296
193-108	754898,2969009,755218,2969264
185-51	755046,2971602,755343,2971913
142-149	761436,2962611,761700,2962838
230-144	754789,2964253,755072,2964553
173-28	757973,2963881,758244,2964130
131-47	760208,2959267,760561,2959557
173-16	758309,2963882,758596,2964198
228-6	755740,2965321,756019,2965584
---	761714,2957265,762093,2957635
26-130	768667,2959560,768910,2959863
66-105	762227,2954858,762533,2955154
207-21	756433,2965160,756709,2965434
113-47	763223,2960975,763530,2961287
190-213	755077,2969567,755321,2969834
268A-51	754468,2968281,754863,2968763
23-40	768991,2960537,769256,2960843
196-86	756416,2968598,756701,2968877
253-131	750775,2962272,751047,2962567
250-161	752263,2962267,752590,2962588
74-43	765143,2958437,765438,2958688
34-48	768133,2960467,768419,2960716
132-77	760046,2959664,760297,2959966
220-148	756032,2962230,756302,2962487
140-94	761564,2962410,761888,2962672
269-114	754171,2969118,754495,2969370
166-25	757415,2961234,757709,2961532
21-104	769367,2960984,769606,2961281
17-66	769670,2959269,769946,2959525
139-196	761663,2961161,762012,2961454
36-189	767346,2961231,767593,2961469
15-29	768871,2958215,769381,2958611
124-87	761836,2958643,762094,2958893
36-241	766981,2961354,767273,2961644
267.4-315	751059,2969194,751341,2969578
188-52	754206,2970404,754453,2970705
234-143	752876,2964307,753237,2964592
150-100	760246,2964361,760527,2964667
112-89	762844,2961424,763147,2961709
71-46	765863,2957080,766498,2957612
266-20	748288,2965893,748624,2966236
190-104	754959,2969367,755206,2969663
130-168	759871,2957953,760340,2958642
36-136	767296,2961043,767553,2961280
269-115	754267,2968627,754510,2968880
98-22	761262,2955217,761565,2955508
37-1	766704,2960248,766995,2960520
201-104	757782,2966580,758058,2966854
190-175	754605,2969355,754845,2969633
26-29	768275,2959627,768511,2959897
146-48	760860,2963266,761217,2963605
237-68	754329,2963989,754624,2964250
111-1	762674,2962175,762956,2962477
86-15	764750,2960119,765060,2960411
133-8	759643,2960672,759966,2960947
140-26	761977,2962420,762221,2962700
122-166	761083,2958632,761370,2958905
184-197	755287,2970887,755885,2971435
67-65	762982,2955613,763398,2956051
209-63	757257,2964986,757550,2965271
139-19	762068,2961516,762373,2961799
233-214	753850,2964303,754158,2964565
117-26	762000,2959393,762327,2959723
25-58	768708,2959911,768947,2960212
18-65	770071,2959308,770419,2959652
151-102	759957,2964947,760201,2965208
78-101	765962,2959300,766222,2959565
24-17	769392,2959594,769617,2959844
139-55	762203,2961480,762483,2961746
104-18	761407,2957121,761695,2957404
82-80	765337,2961222,765572,2961463
23-143	768710,2960389,769012,2960639
239-21	754962,2961775,755354,2962183
113-30	763085,2961159,763373,2961433
132-8	759849,2960105,760174,2960392
35-32	768024,2960700,768267,2960973
54-10	763226,2955247,763857,2955722
108-79	763358,2959779,763714,2960161
178-99	758461,2966568,758732,2966877
132-134	760025,2959922,760271,2960179
196-102	756240,2968534,756494,2968802
149-134	760338,2963910,760601,2964185
233-194	754007,2964741,754258,2965024
234-181	753324,2964298,753610,2964623
230-141	754710,2964650,755032,2964948
248-84	752536,2964431,752817,2964716
237-64	754043,2963872,754352,2964134
253-50	750655,2962840,750906,2963130
139-95	761912,2961214,762232,2961527
118-54	763003,2959486,763303,2959783
221-80	755372,2961810,755623,2962075
230-139	754896,2964333,755184,2964616
200-44	757990,2967336,758302,2967631
231-26	754932,2963840,755217,2964090
250-39	752564,2962084,752952,2962438
132-54	760281,2959635,760621,2959930
253-143	750776,2962726,751088,2962998
193-178	754731,2969233,755052,2969442
7-114	770037,2960848,770426,2961298
86-107	764963,2959761,765351,2960286
97-15	761677,2955314,761986,2955616
114-46	763381,2960503,763693,2960792
36-254	766914,2961368,767193,2961666
118-68	762690,2959155,762988,2959436
174-44	758350,2964199,758595,2964490
221-79	755367,2961756,755617,2962013
102-54	761553,2956414,761814,2956670
67-54	763510,2955686,763999,2956107
88-53	763727,2959350,764078,2959689
136-18	760547,2961119,760885,2961410
139-22	761936,2961347,762302,2961685
21-82	769356,2960614,769592,2960885
75-159	764804,2958442,765111,2958688
1A-195	772127,2960035,772816,2960639
192-145	755448,2969245,755691,2969543
25-109	768679,2960217,768935,2960472
151-125	759804,2965301,760090,2965565
195-32	756113,2967614,756378,2967916
184-129	756153,2970363,756455,2970655
156-67	759290,2964360,759631,2964752
262-40	755134,2965509,755427,2965823
102-141	761550,2956329,761848,2956635
27-3	768147,2959301,768375,2959545
262-2	754400,2965787,754702,2966139
112-63	762807,2961029,763163,2961355
198-27	756954,2968456,757280,2968775
14-51	769066,2957946,769467,2958373
100-17	760668,2955521,760967,2955814
206-27	756757,2965477,757043,2965764
228-34	755612,2965679,755888,2965981
93-127	763267,2957201,763511,2957452
273-1	752901,2966168,753253,2966671
201.5-6	756884,2966096,757192,2966385
86-114	764791,2959978,765053,2960241
93-13	763024,2957251,763318,2957542
247-104	753066,2962948,753396,2963218
210-20	757398,2965864,757691,2966173
103-114	762136,2956677,762362,2956906
248-53	752621,2964567,752884,2964852
123-5	761577,2958409,761881,2958656
104-3	761316,2957005,761608,2957288
153-38	759461,2965562,759718,2965868
139-39	761666,2960959,761947,2961290
33-75	767999,2959667,768235,2959935
167-97	757475,2961783,757952,2962302
198-22	756719,2968293,757034,2968558
179-68	758812,2967065,759072,2967333
142-7	761073,2961955,761359,2962220
122-28	760992,2958189,761235,2958470
1A-183	772140,2959708,774030,2961058
150-123	759886,2964220,760165,2964561
254-69	750180,2962341,750534,2962614
205-89	756163,2965849,756435,2966113
39-136	766960,2959770,767222,2960076
99-34	760878,2955230,761178,2955539
104-151	761723,2957494,762012,2957769
195-47	755813,2968124,756112,2968385
202-26	757171,2966813,757532,2967104
130-128	760355,2958518,760679,2958810
210-64	757596,2965924,757886,2966204
267B-181	748764,2968203,749060,2968462
143-19	760354,2962306,760771,2962648
253-160	750558,2962359,750866,2962628
26-147	768515,2959736,768755,2959995
34-23	767709,2960609,767977,2960834
88-57	764532,2959023,764784,2959318
156-11	759566,2964331,759922,2964621
246-27	753635,2962193,753965,2962530
76-6	765182,2959221,765501,2959548
79-57	765403,2959797,765672,2960057
184-119	755918,2970583,756190,2970851
110-61	764142,2960598,764550,2961108
199-12	757032,2967555,757351,2967845
23-108	768374,2960802,768610,2961052
143-13	760548,2962270,760870,2962676
202-42	756512,2966831,756773,2967138
156-93	759381,2964326,759627,2964598
267A-163	748691,2968591,748981,2968890
40-210	766332,2959008,766564,2959281
195-158	755884,2968319,756172,2968640
36-21	766488,2961063,766742,2961319
93-131	763332,2957288,763614,2957591
96-145	762079,2955122,762338,2955393
87-66	764259,2959679,764567,2959955
190-283	754594,2969685,754917,2969987
261-108	753668,2965768,753946,2966074
262-119	754713,2965140,755011,2965459
83-8	763920,2961400,764149,2961651
192-120	755967,2969214,756252,2969509
234-50	753175,2963995,753483,2964270
194-81	755145,2967944,755443,2968197
87-137	764114,2959647,764414,2959959
105-22	762247,2957904,762516,2958160
122-105	761101,2958486,761388,2958724
203A-10	755546,2967117,755889,2967405
221-28	755737,2962062,756023,2962315
127-68	760915,2956720,761201,2957003
138-8	761723,2961527,762004,2961813
262-99	754905,2965318,755198,2965632
190-276	754892,2970044,755121,2970334
263-22	754213,2965259,754508,2965565
199-131	757033,2967246,757292,2967499
101-153	760765,2956042,761127,2956407
105-110	762468,2958001,762745,2958262
1A-82	771374,2960060,771823,2960473
184-79	755619,2970567,755909,2970853
254-73	750353,2962543,750618,2962795
202-43	756449,2966839,756725,2967112
191-17	755493,2969718,755771,2969956
39-131	766945,2959925,767218,2960238
93-48	763200,2957664,763470,2957925
96-103	761947,2955232,762253,2955569
267B-174	748860,2968227,749161,2968503
135-135	761575,2960708,761828,2960945
101-203	761095,2956483,761379,2956767
199-43	757148,2967237,757426,2967524
259-11	752141,2963647,752426,2963911
267B-47	748674,2967959,748987,2968240
274-1C	768773,2956394,769068,2956664
85-83	764928,2961082,765201,2961364
75-36	764769,2958644,765031,2958899
265A-29	752613,2966378,753183,2966872
127-51	760843,2956888,761121,2957163
230-145	755041,2964638,755328,2964930
125-117	761278,2958029,761531,2958259
234-149	752949,2964033,753311,2964321
22-32	768692,2960942,768957,2961182
180-48	758402,2967982,758695,2968279
96-134	762216,2955080,762490,2955372
196-4	756014,2968611,756338,2968948
149-42	760579,2964039,760891,2964363
127-121	760922,2957281,761188,2957552
122-139	761054,2958825,761349,2959098
132-124	759825,2959884,760082,2960150
190-167	755034,2969717,755316,2969960
151-90	760258,2964947,760543,2965214
93-52	763250,2957720,763529,2957989
75-39	764679,2958381,764978,2958705
254-19	750160,2962759,750455,2963073
184-35	755556,2970674,755870,2970983
160-66	758566,2961005,758847,2961289
203A-65	755315,2967166,755611,2967422
119-104	761571,2959073,761849,2959342
235-44	753068,2963772,753334,2964052
174-7	758252,2964450,758550,2964745
201-70	757996,2966439,758276,2966734
26-163	768441,2959697,768706,2960006
220-141	756386,2961732,756658,2961994
93-3	762910,2957314,763170,2957568
233-83	754093,2964196,754406,2964437
139-82	762360,2961536,762624,2961796
183-11	756166,2970126,756457,2970409
33-52	768017,2959923,768255,2960170
80-93	766055,2960564,766329,2960871
206-17	756753,2965804,757068,2966105
34-136	767433,2960515,767741,2960874
82-10	764874,2961272,765159,2961541
230-2	754922,2964829,755228,2965150
222-46	755813,2962618,756099,2962968
251-203	751887,2962457,752204,2962766
102-60	761644,2956237,761954,2956555
113-2	762696,2960488,763065,2960834
1A-186	770072,2960573,770716,2961156
176-29	758214,2965573,758556,2965881
180-47	758438,2967950,758785,2968292
21-78	769417,2960718,769676,2961022
78-37	765628,2959689,765931,2959967
231-28	754941,2964024,755237,2964276
77-76	765644,2959261,765959,2959613
177-75	758538,2966351,758885,2966621
26-117	768341,2959359,768599,2959664
112-40	762493,2961286,762771,2961591
200-72	757495,2967057,757781,2967311
177-68	758222,2966366,758493,2966675
173-80	758247,2963980,758567,2964324
202-27	757161,2966767,757505,2967063
210-79	757261,2965992,757552,2966268
261-150	753850,2965858,754164,2966155
114A-15	763537,2961278,763805,2961533
150-129	760218,2964462,760486,2964751
90-111	763772,2958382,764093,2958718
119-93	762138,2958807,762444,2959113
247-121	752510,2963602,752783,2963904
193-93	755026,2968715,755349,2968968
210-86	757852,2966004,758247,2966348
37-14	767022,2960682,767266,2961004
114-148	763232,2960476,763517,2960754
267C-56	749465,2968380,749764,2968723
231-47	755332,2963655,755656,2964052
98-39	761158,2954673,761478,2954979
176-24	758230,2965691,758521,2965967
26-159	768441,2959403,768693,2959635
135-5	760953,2961039,761319,2961436
93-93	762944,2957153,763241,2957451
154-97	758921,2965144,759194,2965439
40-120	766676,2959609,766964,2959874
233-58	754108,2964271,754394,2964531
156-12	759559,2964231,759915,2964537
146-7	760977,2963346,761319,2963675
142-102	761329,2962020,761660,2962285
268A-43	754638,2968462,754940,2968758
142-146	761442,2962659,761717,2962922
193-150	755170,2969234,755491,2969488
179-1	758949,2967618,759255,2967934
202-127	756769,2966531,757023,2966778
196-106	756185,2968616,756512,2968895
235-24	753214,2963615,753579,2963916
265D-51	752151,2968728,752581,2969109
94-219	762631,2956962,762909,2957233
84-1	764024,2961202,764372,2961518
115-19	762390,2960129,762692,2960427
199-129	757016,2967279,757265,2967533
263-75	754515,2964815,754804,2965118
176-70	758565,2965814,758821,2966155
77-59	765637,2958983,765986,2959332
251-259	751969,2961996,752240,2962244
196-21	756429,2968765,756769,2969111
121-60	760999,2959113,761281,2959412
154-49	759325,2965006,759599,2965316
114A-68	763827,2961131,764151,2961455
211-33	758044,2965145,758384,2965506
140-126	762434,2962328,762687,2962621
230-47	755380,2964560,755677,2964877
247-103	753055,2962987,753386,2963261
190-184	754765,2969359,755007,2969648
75-84	764870,2958677,765193,2959025
80-151	766011,2960588,766271,2960889
154-133	759640,2965240,759886,2965531
262-77	754305,2965385,754589,2965694
190-244	755101,2969948,755374,2970315
228-44	755582,2965562,755859,2965859
203A-43	755301,2967468,755512,2967677
233-157	753527,2964576,753860,2964847
200-83	757775,2967432,758053,2967700
237-69	754336,2964036,754633,2964293
262-67	754536,2965603,754818,2965901
97-57	762177,2955736,762479,2956031
97-136	761806,2955539,762111,2955845
89-58	764594,2958799,764867,2959129
76-132	765497,2958742,765750,2958992
227-8	755956,2964633,756236,2964909
102-31	761527,2955996,761792,2956263
101-31	760913,2956509,761194,2956815
127-144	760812,2957237,761063,2957499
90-171	763640,2958376,764001,2958767
111-30	763699,2961424,764011,2961720
188-66	754373,2970923,754672,2971163
232-27	754799,2963985,755097,2964237
39-141	767095,2959901,767329,2960201
206-74	756183,2965076,756490,2965389
248-77	752722,2964388,753016,2964651
271-13	754802,2967329,755096,2967623
40-110	766625,2959491,766914,2959755
196-127	756483,2968949,756780,2969245
35-88	768096,2961232,768487,2961597
189-11	754719,2970635,755033,2970877
120-107	761595,2959247,761855,2959497
35-59	767585,2960777,767823,2961032
34-29	767954,2960493,768223,2960763
221-87	755687,2961953,756094,2962217
194-91	755158,2967671,755454,2967899
191-115	755493,2969982,755788,2970216
77-12	765195,2959440,765441,2959715
90-189A	763502,2958753,763744,2958983
74-46	765113,2958327,765410,2958588
199-30	757283,2968091,757595,2968390
176-73	758526,2965422,758822,2965700
22-30	768871,2961069,769105,2961349
104-145	761848,2957637,762121,2957907
253-77	750863,2962971,751202,2963290
247-102	753044,2963028,753375,2963304
114-87	763466,2960446,763773,2960727
24-65	769181,2959728,769431,2960030
189-5	754740,2970819,755031,2971135
127-146	760845,2957196,761099,2957453
150-112	760026,2964353,760280,2964652
